category,substance,sample_type,unit,year,age_group_en,age_group_kr,statistic,value
중금속,망가니즈,요,㎍/L,2023,adult,성인,p95,0.706
중금속,망가니즈,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.254
중금속,망가니즈,요,㎍/g cr.,2023,preschool,영유아,p95,0.807
중금속,망가니즈,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.175
중금속,망가니즈,요,㎍/g cr.,2023,elementary,초등학생,p95,0.581
중금속,망가니즈,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.139
중금속,망가니즈,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.57
중금속,망가니즈,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.187
중금속,망가니즈,요,㎍/g cr.,2023,adult,성인,p95,0.914
중금속,몰리브데넘,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.112
중금속,몰리브데넘,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.232
중금속,몰리브데넘,전혈,㎍/L,2023,adult,성인,geometric_mean,0.964
중금속,몰리브데넘,전혈,㎍/L,2023,adult,성인,p95,3.44
중금속,몰리브데넘,요,㎍/L,2023,preschool,영유아,geometric_mean,113.0
중금속,몰리브데넘,요,㎍/L,2023,preschool,영유아,p95,331.0
중금속,몰리브데넘,요,㎍/L,2023,elementary,초등학생,geometric_mean,102.0
중금속,몰리브데넘,요,㎍/L,2023,elementary,초등학생,p95,295.0
중금속,몰리브데넘,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,81.0
중금속,몰리브데넘,요,㎍/L,2023,middle_high_school,중고등학생,p95,236.0
중금속,몰리브데넘,요,㎍/L,2023,adult,성인,geometric_mean,56.6
중금속,몰리브데넘,요,㎍/L,2023,adult,성인,p95,211.0
중금속,몰리브데넘,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,129.0
중금속,몰리브데넘,요,㎍/g cr.,2023,preschool,영유아,p95,305.0
중금속,몰리브데넘,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,83.0
중금속,몰리브데넘,요,㎍/g cr.,2023,elementary,초등학생,p95,201.0
중금속,몰리브데넘,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,47.5
중금속,몰리브데넘,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,113.0
중금속,몰리브데넘,요,㎍/g cr.,2023,adult,성인,geometric_mean,57.3
중금속,몰리브데넘,요,㎍/g cr.,2023,adult,성인,p95,163.0
중금속,니켈,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.19
중금속,니켈,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.378
중금속,니켈,전혈,㎍/L,2023,adult,성인,geometric_mean,2.39
중금속,니켈,전혈,㎍/L,2023,adult,성인,p95,5.22
중금속,니켈,요,㎍/L,2023,preschool,영유아,geometric_mean,3.33
중금속,니켈,요,㎍/L,2023,preschool,영유아,p95,8.61
중금속,니켈,요,㎍/L,2023,elementary,초등학생,geometric_mean,3.6
중금속,니켈,요,㎍/L,2023,elementary,초등학생,p95,11.0
중금속,니켈,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,3.08
중금속,니켈,요,㎍/L,2023,middle_high_school,중고등학생,p95,7.77
중금속,니켈,요,㎍/L,2023,adult,성인,geometric_mean,2.45
중금속,니켈,요,㎍/L,2023,adult,성인,p95,6.58
중금속,니켈,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,3.82
중금속,니켈,요,㎍/g cr.,2023,preschool,영유아,p95,7.68
중금속,니켈,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,2.94
중금속,니켈,요,㎍/g cr.,2023,elementary,초등학생,p95,8.99
중금속,니켈,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,1.81
중금속,니켈,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,4.36
중금속,니켈,요,㎍/g cr.,2023,adult,성인,geometric_mean,2.47
중금속,니켈,요,㎍/g cr.,2023,adult,성인,p95,6.51
중금속,안티모니,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.465
