"구분(1)",구분(2),구분(3),구분(4),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분(1)",구분(2),구분(3),구분(4),영유아,영유아,영유아,초등학생,초등학생,초등학생,중고등학생,중고등학생,중고등학생,성인,성인,성인
"구분(1)",구분(2),구분(3),구분(4),기하평균,기하평균 (95% 신뢰구간),95 백분위수,기하평균,기하평균 (95% 신뢰구간),95 백분위수,기하평균,기하평균 (95% 신뢰구간),95 백분위수,기하평균,기하평균 (95% 신뢰구간),95 백분위수
"다환방향족 탄화수소 대사체",1-하이드록시페난트렌,요,㎍/L,*,*,0.361,0.0623,(0.0571  0.0681),0.381,0.074,(0.0678  0.0808),0.38,0.0693,(0.0653  0.0734),0.426
"다환방향족 탄화수소 대사체",1-하이드록시페난트렌,요,㎍/g cr.,*,*,0.364,0.0494,(0.0444  0.0548),0.332,0.0432,(0.0397  0.0471),0.211,0.0678,(0.0639  0.0721),0.359
"다환방향족 탄화수소 대사체",2-하이드록시플루오렌,요,㎍/L,0.143,(0.130  0.158),0.47,0.136,(0.126  0.148),0.601,0.18,(0.165  0.198),0.64,0.175,(0.164  0.187),1.5
"다환방향족 탄화수소 대사체",2-하이드록시플루오렌,요,㎍/g cr.,0.161,(0.148  0.174),0.533,0.11,(0.102  0.119),0.441,0.104,(0.0956  0.114),0.356,0.173,(0.163  0.183),1.17
"환경성 페놀류",비스페놀 A,요,㎍/L,0.839,(0.721  0.975),4.05,1.16,(1.07  1.25),4.53,1.47,(1.26  1.71),7.79,0.722,(0.666  0.783),4.11
"환경성 페놀류",비스페놀 A,요,㎍/g cr.,0.975,(0.850  1.12),4.06,0.935,(0.870  1.00),3.63,0.829,(0.692  0.992),4.55,0.713,(0.655  0.775),4.18
"환경성 페놀류",비스페놀 F,요,㎍/L,0.19,(0.163  0.221),1.46,0.249,(0.218  0.284),1.68,0.259,(0.216  0.310),3.22,0.224,(0.208  0.242),1.63
"환경성 페놀류",비스페놀 F,요,㎍/g cr.,0.201,(0.172  0.236),1.64,0.197,(0.170  0.227),1.3,0.157,(0.130  0.191),2.19,0.214,(0.196  0.233),1.7
"환경성 페놀류",비스페놀 S,요,㎍/L,0.504,(0.440  0.577),4.22,0.324,(0.287  0.367),2.9,0.372,(0.320  0.433),3.68,0.323,(0.304  0.343),3.02
"환경성 페놀류",비스페놀 S,요,㎍/g cr.,0.581,(0.512  0.659),4.03,0.263,(0.231  0.299),2.26,0.219,(0.190  0.252),2.31,0.327,(0.307  0.347),2.67
"환경성 페놀류",메틸파라벤,요,㎍/L,54.9,(43.9  68.8),4704,8.7,(7.45  10.2),457,12.5,(10.9  14.3),143,10.3,(9.36  11.4),189
"환경성 페놀류",메틸파라벤,요,㎍/g cr.,61.3,(48.8  76.8),5041,7.02,(6.02  8.18),365,7.67,(6.69  8.80),89.3,10.6,(9.55  11.7),211
"환경성 페놀류",에틸파라벤,요,㎍/L,22.1,(15.4  31.7),723,19.2,(15.5  23.8),537,36.3,(27.7  47.6),789,33.6,(30.3  37.2),721
"환경성 페놀류",에틸파라벤,요,㎍/g cr.,24.7,(17.1  35.7),758,15.7,(12.8  19.2),366,22.8,(17.8  29.3),402,34.1,(30.7  37.9),592
"환경성 페놀류",프로필파라벤,요,㎍/L,2,(1.48  2.69),509,0.452,(0.383  0.533),41.7,0.317,(0.274  0.366),17.3,0.402,(0.365  0.443),27.3
"환경성 페놀류",프로필파라벤,요,㎍/g cr.,2.25,(1.64  3.07),624,0.36,(0.307  0.422),34.2,0.193,(0.162  0.230),11.9,0.397,(0.357  0.441),33.1
"환경성 페놀류",부틸파라벤,요,㎍/L,0.669,(0.591  0.758),3.48,0.319,(0.304  0.335),0.679,*,*,2.39,0.411,(0.374  0.452),2.95
"환경성 페놀류",부틸파라벤,요,㎍/g cr.,0.705,(0.623  0.799),4.08,0.251,(0.236  0.268),0.718,*,*,2.72,0.388,(0.349  0.431),3.84
"환경성 페놀류",벤조페논-3,요,㎍/L,0.512,(0.445  0.588),5.84,0.486,(0.436  0.541),4.65,0.593,(0.535  0.658),6.89,0.42,(0.387  0.455),7.71
"환경성 페놀류",벤조페논-3,요,㎍/g cr.,0.57,(0.497  0.654),6.29,0.389,(0.348  0.434),3.41,0.344,(0.305  0.387),3.78,0.412,(0.380  0.447),7.76
"환경성 페놀류",트리클로산,요,㎍/L,0.36,(0.300  0.433),4.95,0.279,(0.246  0.316),2.41,0.24,(0.218  0.264),1.9,0.134,(0.126  0.143),1.14
"환경성 페놀류",트리클로산,요,㎍/g cr.,0.415,(0.340  0.508),5.33,0.226,(0.199  0.257),2.39,0.134,(0.123  0.146),0.657,0.132,(0.124  0.141),0.972
